CATEGORY,SUBCATAGORY,CompanyName,Telephone,MobileTelephone,Whatsup No,Telegram No,Email,WebSiteAddress
AGRICLTURE,Fertilizers & Agro-Chemicals,Agvet chemicals plc,,0963505050/0911210230,,,info@agvete.com,www.agvetet.com
,,KALEB INSTRUMENTS PLC,116620763,911219116,,,kitplc@ethionet.et,
,  Pulses & Oil Seeds,ADANI WILMAR AGRO INDUSTRY PLC,,0930013021/22,,,indfo@adaniwilmar.com,www.adaniwilmar.com
,,AFEWORK INTERNATIONAL GROUP PLC,0115577723,0911201207,,,afeworkgroup@gmail.com/yohannesafework10@gmail.com,
,,BURKA AGRICULTURE DEVELOPMENT ,,0911972497/0911203394,911499999,911499999,nurabdella97@gmail.com,
,,Eldes engineering p.l.c,,0911223536/0911758609,911223536,911223536,eldesengineringplc.com.et,
,,GLITTER TRADING AND LOGISTIC PLC,116612198,0930034558/0930099842/43,,,glitteraddis@gmail.com,www.glittertradingplc.com
,,HIWET AGRICULTURE MECHANIZATION P.L.C,,911201910,914043076,914043076,danielberhe1212@gmail.com,
,,MEKIYA ENTERPRISE,,0911200593/94,0911200593/94,0911200593/94,mekiya@mekiyaenterprise.com,www.mekiyaenterprise.com
,Coffee Processing & Export,AHADU PLC ,0116298816/17,911201534,,,ahaduplc@gmail.com,
,,AMBASSA ENTERPRISES PLC,0114167221/0114655314,911207034,,,ambassaenterprises@gmail.com,
,,BDFC ETHIOPIA INDUSTRY PLC,0115575001/02,911219803,,,bdfcethiopiaindustry@gmail.com,
,,ETHIO AGRICEFT PLC,0113690391/92,935409663,,,ethioagriceft@ethionet.et,
,,MORMORA COFFEE PLANTATION PLC,,0911616945/0927044444,,,abdu.kk.2018@gmail.com,
,,MUHSIN TRADE PLC,,911557055,,,muhsintrade@gmail.com,
,,MULLEGE PLC,114425937,0911208361/0911527628,,,mullegecoffee@ethionet.com,
,,SIDAMA COFFEE FARMERS COOPERATIVE UNION,0114407165/3919,911247326,,,info@siamacoffee.com/sidacop@yahoo.com,www.sidamacoffee.com
,,tomoca coffee p.l.c,01116894006/0116895225,911221412,911221412,911221412,wondwossen@tomocacoffee.com,
,COTTON FARMING,AMIBARA AGRICULTURAL DEVELOPMENT PLC,,0901616161/0969363636,,,contact@amibara.com,www.amibara.com
,,DANA TRADING PLC,116464510,911220006,,,dana_t_r@yahoo.com,
,,HIWET AGRICULTURE MECHANIZATION P.L.C,,911201910,914043076,914043076,danielberhe1212@gmail.com,
,,OMO VALLEY AGRO INDUSTRY PLC,0114407524/03,911387963,,,oviplc@yahoo.com,
,,SISAY TEDFFAYE AGRICULTUREAL DEVELOPMRNT,114670461,,,,sisaytesfayeagridev@gmail.com,
,,TURE PLC,0112756279/7654,0911226305/0911205549,,,munatwo@gmail.com,
,  FLOWER GROWERS,AQ ROSES PLC,,0911491149/0916580231,,,addisoffice@aqroses.com,
,,GET-AS INTERNATIONAL PLC,0111552747/7484,,,,info@getasinternational.com,www.getasinternational.com
,,ETHIOPIAN MAGICAL FARM,116614544/0115153636,928011077,,,info@emf-flowers.com,www.emf-flowers.com
